,time,price,price_dayahead,gen_gas,gen_coal,temp_max_Seville,load_actual,temp_Seville,temp_min_Seville,temp_max_Madrid,temp_Madrid,temp_min_Barcelona,temp_Barcelona,temp_max_Barcelona,temp_min_Madrid,temp_max_Valencia,temp_min_Bilbao,temp_Valencia,temp_Bilbao,temp_min_Valencia,temp_max_Bilbao,gen_lig,pressure_Barcelona,gen_oil,gen_bio,humidity_Madrid,wind_speed_Valencia,wind_speed_Madrid,gen_wind,gen_hyd_pump
0,2018-01-01 00:00:00+00:00,19.02,4.74,3269.0,959.0,11.0,22009.0,10.39,10.0,7.0,6.43,14.0,14.0,14.0,6.0,14.0,4.0,14.0,7.57,14.0,12.0,0.0,1017.0,191.0,275.0,65.0,5.0,4.0,11156.0,2115.0
1,2018-01-01 01:00:00+00:00,17.9,3.66,3541.0,1014.0,10.0,20589.0,10.0,10.0,8.0,7.43,12.0,13.12,14.0,7.0,13.0,1.0,13.0,6.55,13.0,12.0,0.0,1018.0,191.0,278.0,61.0,5.0,5.0,9437.0,2037.0
2,2018-01-01 02:00:00+00:00,20.88,2.3,3450.0,1043.0,9.0,19547.0,8.39,8.0,8.0,6.98,11.0,12.0,13.0,6.0,12.0,2.0,12.0,7.04,12.0,12.0,0.0,1019.0,191.0,278.0,89.0,6.0,5.0,6474.0,2126.0
3,2018-01-01 03:00:00+00:00,18.83,2.3,3318.0,1063.0,10.0,18871.0,8.79,8.0,7.0,5.86,11.0,11.0,11.0,5.0,11.0,3.0,11.0,7.54,11.0,12.0,0.0,1020.0,191.0,279.0,89.0,4.0,5.0,6329.0,2580.0
4,2018-01-01 04:00:00+00:00,15.8,2.06,3334.0,1054.0,9.0,18688.0,8.39,8.0,7.0,5.29,9.0,10.12,11.0,4.0,10.0,9.0,10.0,9.0,10.0,9.0,0.0,1022.0,191.0,278.0,56.0,6.0,4.0,6172.0,2544.0
5,2018-01-01 05:00:00+00:00,18.7,2.06,3395.0,1062.0,8.0,18869.0,8.0,8.0,5.0,4.57,9.0,10.5,12.0,4.0,10.0,3.0,10.0,5.68,10.0,9.0,0.0,1022.0,187.0,278.0,88.0,6.0,2.0,6189.0,2501.0
6,2018-01-01 06:00:00+00:00,19.97,2.06,3909.0,1135.0,8.0,19263.0,7.39,7.0,3.0,3.0,9.0,10.0,11.0,3.0,10.0,3.0,10.0,5.23,10.0,8.0,0.0,1023.0,193.0,283.0,93.0,4.0,3.0,5782.0,2324.0
7,2018-01-01 07:00:00+00:00,21.91,2.3,3241.0,1027.0,7.0,19046.0,7.0,7.0,2.0,2.0,8.0,9.5,11.0,2.0,9.0,5.0,9.0,7.23,9.0,10.0,0.0,1024.0,195.0,287.0,88.0,5.0,2.0,5963.0,2190.0
8,2018-01-01 08:00:00+00:00,17.82,2.3,3398.0,1095.0,6.0,19563.0,5.39,5.0,2.0,1.47,9.0,10.12,11.0,0.0,9.0,5.0,9.0,8.02,9.0,11.0,0.0,1025.0,198.0,275.0,87.0,5.0,2.0,5770.0,2163.0
9,2018-01-01 09:00:00+00:00,14.63,2.3,2616.0,1039.0,8.0,21063.0,6.18,5.0,4.0,1.97,8.0,9.0,10.0,0.0,10.0,6.0,10.0,8.52,10.0,11.0,0.0,1025.0,199.0,273.0,80.0,5.0,3.0,6448.0,1829.0
10,2018-01-01 10:00:00+00:00,14.69,2.3,2555.0,1064.0,10.0,22448.0,8.79,8.0,6.0,4.97,10.0,11.0,12.0,4.0,12.0,7.0,12.0,9.23,12.0,12.0,0.0,1027.0,199.0,270.0,81.0,6.0,3.0,7056.0,1014.0
11,2018-01-01 11:00:00+00:00,14.0,2.3,2564.0,1058.0,12.0,23033.0,10.79,10.0,7.0,6.23,11.0,12.5,14.0,5.0,14.0,8.0,14.0,10.23,14.0,13.0,0.0,1027.0,195.0,279.0,70.0,9.0,2.0,8335.0,926.0
12,2018-01-01 12:00:00+00:00,14.14,2.3,2535.0,1016.0,15.0,23680.0,12.57,11.0,8.0,7.38,15.0,15.0,15.0,7.0,13.0,9.0,13.0,11.52,13.0,14.0,0.0,1026.0,193.0,281.0,61.0,9.0,5.0,9002.0,927.0
13,2018-01-01 13:00:00+00:00,17.69,5.0,2452.0,989.0,15.0,23918.0,13.9,13.0,9.0,9.0,13.0,13.5,14.0,9.0,15.0,9.0,15.0,11.15,15.0,14.0,0.0,1025.0,196.0,284.0,61.0,8.0,5.0,11860.0,1142.0
14,2018-01-01 14:00:00+00:00,17.62,5.0,2558.0,1001.0,18.0,22626.0,15.57,14.0,11.0,10.0,14.0,14.0,14.0,9.0,16.0,10.0,16.0,12.23,16.0,15.0,0.0,1023.0,199.0,270.0,61.0,8.0,7.0,12244.0,1344.0
15,2018-01-01 15:00:00+00:00,16.99,5.0,2515.0,1015.0,18.0,22130.0,15.57,14.0,12.0,10.98,14.0,15.0,16.0,10.0,17.0,11.0,17.0,11.45,17.0,12.0,0.0,1022.0,200.0,265.0,57.0,9.0,5.0,12635.0,1300.0
16,2018-01-01 16:00:00+00:00,20.66,8.85,2681.0,968.0,19.0,22607.0,16.57,15.0,11.0,10.5,13.0,13.0,13.0,10.0,17.0,10.0,17.0,10.45,17.0,11.0,0.0,1021.0,202.0,268.0,66.0,8.0,5.0,13564.0,1073.0
17,2018-01-01 17:00:00+00:00,28.2,15.93,2749.0,982.0,19.0,25198.0,16.57,15.0,11.0,10.01,13.0,13.5,14.0,9.0,15.0,9.0,15.0,11.23,15.0,14.0,0.0,1020.0,203.0,268.0,71.0,8.0,5.0,14629.0,355.0
18,2018-01-01 18:00:00+00:00,32.37,22.02,2836.0,963.0,15.0,26477.0,14.39,14.0,10.0,9.35,13.0,13.5,14.0,9.0,15.0,9.0,15.0,10.5,15.0,13.0,0.0,1021.0,201.0,264.0,76.0,7.0,3.0,14358.0,145.0
19,2018-01-01 19:00:00+00:00,30.39,20.0,2784.0,943.0,13.0,27326.0,11.18,10.0,10.0,8.98,13.0,13.56,14.0,8.0,15.0,9.0,15.0,10.34,15.0,12.0,0.0,1021.0,198.0,270.0,81.0,7.0,3.0,14342.0,145.0
20,2018-01-01 20:00:00+00:00,32.2,21.95,2746.0,916.0,13.0,27534.0,10.57,9.0,9.0,8.66,14.0,14.5,15.0,8.0,15.0,8.0,15.0,9.78,15.0,12.0,0.0,1021.0,193.0,277.0,81.0,7.0,4.0,14041.0,147.0
21,2018-01-01 21:00:00+00:00,32.9,23.52,2894.0,936.0,13.0,26946.0,9.97,8.0,9.0,8.43,12.0,12.0,12.0,8.0,13.0,9.0,13.0,10.34,13.0,12.0,0.0,1022.0,201.0,279.0,81.0,5.0,9.0,14166.0,385.0
22,2018-01-01 22:00:00+00:00,26.95,16.35,3208.0,965.0,10.0,24878.0,8.18,7.0,10.0,8.98,12.0,13.5,15.0,8.0,14.0,8.0,14.0,10.02,14.0,12.0,0.0,1022.0,203.0,270.0,76.0,8.0,8.0,13271.0,487.0
23,2018-01-01 23:00:00+00:00,29.42,60.0,6024.0,4350.0,10.0,28084.0,7.57,6.0,10.0,8.29,13.0,13.0,13.0,7.0,14.0,9.0,14.0,10.34,14.0,12.0,857.0,1022.0,322.0,374.0,71.0,10.0,8.0,2158.0,13.0
24,2018-01-02 00:00:00+00:00,23.58,57.79,5371.0,4217.0,9.0,26180.0,6.57,5.0,10.0,8.29,11.0,11.56,12.0,7.0,13.0,9.0,13.0,10.01,13.0,11.0,827.0,1022.0,315.0,370.0,71.0,5.0,7.0,2485.0,222.0
25,2018-01-02 01:00:00+00:00,20.21,55.31,4744.0,3980.0,8.0,25063.0,6.18,5.0,10.0,8.86,11.0,11.5,12.0,8.0,13.0,8.0,13.0,9.34,13.0,11.0,651.0,1022.0,316.0,371.0,66.0,8.0,6.0,3156.0,417.0
